genres,imdb_title,movie_title
Action|Adventure|Fantasy|Sci-Fi,tt0499549,Avatar
Action|Adventure|Fantasy,tt0449088,Pirates of the Caribbean: At World's End
Action|Adventure|Thriller,tt2379713,Spectre
Action|Thriller,tt1345836,The Dark Knight Rises
Action|Adventure|Sci-Fi,tt0401729,John Carter
Action|Adventure|Romance,tt0413300,Spider-Man 3
Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,tt0398286,Tangled
Action|Adventure|Sci-Fi,tt2395427,Avengers: Age of Ultron
Adventure|Family|Fantasy|Mystery,tt0417741,Harry Potter and the Half-Blood Prince
Action|Adventure|Sci-Fi,tt2975590,Batman v Superman: Dawn of Justice
Action|Adventure|Sci-Fi,tt0348150,Superman Returns
Action|Adventure,tt0830515,Quantum of Solace
Action|Adventure|Fantasy,tt0383574,Pirates of the Caribbean: Dead Man's Chest
Action|Adventure|Western,tt1210819,The Lone Ranger
Action|Adventure|Fantasy|Sci-Fi,tt0770828,Man of Steel
Action|Adventure|Family|Fantasy,tt0499448,The Chronicles of Narnia: Prince Caspian
Action|Adventure|Sci-Fi,tt0848228,The Avengers
Action|Adventure|Fantasy,tt1298650,Pirates of the Caribbean: On Stranger Tides
Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,tt1409024,Men in Black 3
Adventure|Fantasy,tt2310332,The Hobbit: The Battle of the Five Armies
Action|Adventure|Fantasy,tt0948470,The Amazing Spider-Man
Action|Adventure|Drama|History,tt0955308,Robin Hood
Adventure|Fantasy,tt1170358,The Hobbit: The Desolation of Smaug
Adventure|Family|Fantasy,tt0385752,The Golden Compass
Action|Adventure|Drama|Romance,tt0360717,King Kong
Drama|Romance,tt0120338,Titanic
Action|Adventure|Sci-Fi,tt3498820,Captain America: Civil War
Action|Adventure|Sci-Fi|Thriller,tt1440129,Battleship
Action|Adventure|Sci-Fi|Thriller,tt0369610,Jurassic World
Action|Adventure|Thriller,tt1074638,Skyfall
Action|Adventure|Fantasy|Romance,tt0316654,Spider-Man 2
Action|Adventure|Sci-Fi,tt1300854,Iron Man 3
Adventure|Family|Fantasy,tt1014759,Alice in Wonderland
Action|Adventure|Fantasy|Sci-Fi|Thriller,tt0376994,X-Men: The Last Stand
Adventure|Animation|Comedy|Family|Fantasy,tt1453405,Monsters University
Action|Adventure|Sci-Fi,tt1055369,Transformers: Revenge of the Fallen
Action|Adventure|Sci-Fi,tt2109248,Transformers: Age of Extinction
Adventure|Family|Fantasy,tt1623205,Oz the Great and Powerful
Action|Adventure|Fantasy|Sci-Fi,tt1872181,The Amazing Spider-Man 2
Action|Adventure|Sci-Fi,tt1104001,TRON: Legacy
Adventure|Animation|Comedy|Family|Sport,tt1216475,Cars 2
Action|Adventure|Sci-Fi,tt1133985,Green Lantern
Adventure|Animation|Comedy|Family|Fantasy,tt0435761,Toy Story 3
Action|Adventure|Sci-Fi,tt0438488,Terminator Salvation
Action|Crime|Thriller,tt2820852,Furious 7
Action|Adventure|Horror|Sci-Fi|Thriller,tt0816711,World War Z
Action|Adventure|Fantasy|Sci-Fi|Thriller,tt1877832,X-Men: Days of Future Past
Action|Adventure|Sci-Fi,tt1408101,Star Trek Into Darkness
Adventure|Fantasy,tt1351685,Jack the Giant Slayer
Drama|Romance,tt1343092,The Great Gatsby
Action|Adventure|Fantasy|Romance,tt0473075,Prince of Persia: The Sands of Time
Action|Adventure|Sci-Fi,tt1663662,Pacific Rim
Action|Adventure|Sci-Fi,tt1399103,Transformers: Dark of the Moon
Action|Adventure|Fantasy,tt0367882,Indiana Jones and the Kingdom of the Crystal Skull
Adventure|Animation|Comedy|Family|Fantasy,tt1979388,The Good Dinosaur
Adventure|Animation|Comedy|Family|Fantasy,tt1217209,Brave
Action|Adventure|Sci-Fi|Thriller,tt2660888,Star Trek Beyond
Adventure|Animation|Family|Sci-Fi,tt0910970,WALL·E
Action|Comedy|Crime|Thriller,tt0293564,Rush Hour 3
Action|Adventure|Sci-Fi,tt1190080,2012
Animation|Drama|Family|Fantasy,tt1067106,A Christmas Carol
Action|Adventure|Sci-Fi,tt1617661,Jupiter Ascending
Action|Adventure|Drama|Romance,tt0918940,The Legend of Tarzan
Adventure|Family|Fantasy,tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
Action|Adventure|Sci-Fi,tt3385516,X-Men: Apocalypse
Action|Crime|Drama|Thriller,tt0468569,The Dark Knight
Adventure|Animation|Comedy|Family,tt1049413,Up
Action|Adventure|Animation|Comedy|Family|Sci-Fi,tt0892782,Monsters vs. Aliens
Action|Adventure|Sci-Fi,tt0371746,Iron Man
Adventure|Drama|Family|Mystery,tt0970179,Hugo
Action|Comedy|Sci-Fi|Western,tt0120891,Wild Wild West
Action|Adventure|Fantasy|Horror|Thriller,tt0859163,The Mummy: Tomb of the Dragon Emperor
Action|Adventure|Comedy|Sci-Fi,tt1386697,Suicide Squad
Comedy|Family|Fantasy,tt0413099,Evan Almighty
Action|Adventure|Sci-Fi,tt1631867,Edge of Tomorrow
Action|Adventure|Sci-Fi|Thriller,tt0114898,Waterworld
Action|Adventure|Sci-Fi|Thriller,tt1046173,G.I. Joe: The Rise of Cobra
Adventure|Animation|Comedy|Drama|Family|Fantasy,tt2096673,Inside Out
Adventure|Drama|Family|Fantasy,tt3040964,The Jungle Book
Action|Adventure|Sci-Fi,tt1228705,Iron Man 2
Action|Adventure|Drama|Fantasy,tt1735898,Snow White and the Huntsman
Action|Adventure|Family|Fantasy|Romance,tt1587310,Maleficent
Action|Adventure|Drama|Sci-Fi,tt2103281,Dawn of the Planet of the Apes
Action|Adventure|Romance|Sci-Fi,tt1321869,The Lovers
Action|Adventure|Drama|Fantasy,tt1335975,47 Ronin
Action|Adventure|Sci-Fi,tt1843866,Captain America: The Winter Soldier
Adventure|Animation|Comedy|Family|Fantasy,tt0892791,Shrek Forever After
Action|Adventure|Family|Mystery|Sci-Fi,tt1964418,Tomorrowland
Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,tt2245084,Big Hero 6
Adventure|Animation|Comedy|Family|Sci-Fi,tt1772341,Wreck-It Ralph
Adventure|Animation|Family|Fantasy,tt0338348,The Polar Express
Action|Adventure|Sci-Fi,tt1628841,Independence Day: Resurgence
Adventure|Animation|Family|Fantasy,tt0892769,How to Train Your Dragon
Action|Sci-Fi,tt0181852,Terminator 3: Rise of the Machines
Action|Adventure|Sci-Fi,tt2015381,Guardians of the Galaxy
Adventure|Drama|Sci-Fi,tt0816692,Interstellar
Action|Adventure|Sci-Fi|Thriller,tt1375666,Inception
Action|Adventure|Drama|Horror|Sci-Fi,tt4262980,Godzilla Resurgence
Adventure|Fantasy,tt0903624,The Hobbit: An Unexpected Journey
Action|Crime|Thriller,tt0232500,The Fast and the Furious
Drama|Fantasy|Romance,tt0421715,The Curious Case of Benjamin Button
Action|Adventure|Sci-Fi,tt1270798,X-Men: First Class
Adventure|Sci-Fi,tt1951266,The Hunger Games: Mockingjay - Part 2
Action|Adventure|Family|Fantasy,tt0963966,The Sorcerer's Apprentice
Action|Adventure|Drama|Thriller,tt0409182,Poseidon
Adventure|Family|Fantasy,tt2567026,Alice Through the Looking Glass
Adventure|Animation|Comedy|Family|Fantasy,tt0413267,Shrek the Third
Action|Adventure|Fantasy,tt0803096,Warcraft
Action|Adventure|Sci-Fi,tt1340138,Terminator Genisys
Adventure|Family|Fantasy,tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader
Action|Adventure|Sci-Fi,tt0418279,Transformers
Action|Adventure|Biography|Drama|History|Romance|War,tt0346491,Alexander
Adventure|Family|Fantasy|Mystery,tt0373889,Harry Potter and the Order of the Phoenix
Adventure|Family|Fantasy|Mystery,tt0330373,Harry Potter and the Goblet of Fire
Action|Drama,tt0448157,Hancock
Drama|Horror|Sci-Fi,tt0480249,I Am Legend
Adventure|Comedy|Family|Fantasy,tt0367594,Charlie and the Chocolate Factory
Animation|Comedy|Family|Fantasy,tt0382932,Ratatouille
Action|Adventure,tt0372784,Batman Begins
Action|Adventure|Animation|Comedy|Family,tt0479952,Madagascar: Escape 2 Africa
Adventure|Comedy|Family|Fantasy,tt1078912,Night at the Museum: Battle of the Smithsonian
Action|Adventure|Fantasy|Sci-Fi|Thriller,tt0458525,X-Men Origins: Wolverine
Action|Sci-Fi,tt0242653,The Matrix Revolutions
Adventure|Animation|Comedy|Family|Fantasy|Musical,tt2294629,Frozen
Action|Sci-Fi,tt0234215,The Matrix Reloaded
Action|Adventure|Fantasy,tt1981115,Thor: The Dark World
Action|Adventure|Sci-Fi|Thriller,tt1392190,Mad Max: Fury Road
Mystery|Thriller,tt0808151,Angels & Demons
Action|Adventure|Fantasy,tt0800369,Thor
Adventure|Animation|Comedy|Drama|Family,tt0397892,Bolt
Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,tt0436339,G-Force
Action|Adventure|Fantasy,tt1646987,Wrath of the Titans
Comedy|Fantasy|Horror,tt1077368,Dark Shadows
Action|Adventure|Thriller,tt2381249,Mission: Impossible - Rogue Nation
Drama|Fantasy|Horror|Thriller,tt0780653,The Wolfman
Action|Adventure|Drama|Romance,tt0918940,The Legend of Tarzan
Adventure|Animation|Comedy|Family,tt0389790,Bee Movie
Action|Adventure|Animation|Comedy|Family,tt1302011,Kung Fu Panda 2
Action|Adventure|Family|Fantasy,tt0938283,The Last Airbender
Action|Adventure|Thriller,tt0317919,Mission: Impossible III
Action|Drama|Thriller,tt2334879,White House Down
Action|Adventure|Animation|Comedy|Family|Sci-Fi,tt1305591,Mars Needs Moms
Adventure|Animation|Comedy|Family,tt0424095,Flushed Away
Adventure|Family|Fantasy,tt3332064,Pan
Adventure|Animation|Comedy|Family|Sci-Fi,tt0864835,Mr. Peabody & Sherman
Adventure,tt0332452,Troy
Adventure|Animation|Comedy|Family,tt1277953,Madagascar 3: Europe's Most Wanted
Action|Comedy|Fantasy|Sci-Fi,tt1289401,Ghostbusters
Action|Adventure|Sci-Fi|Thriller,tt0120591,Armageddon
Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,tt0120912,Men in Black II
Action|Adventure|Animation|Fantasy,tt0442933,Beowulf
Action|Adventure|Animation|Comedy|Family,tt2267968,Kung Fu Panda 3
Action|Adventure|Thriller,tt1229238,Mission: Impossible - Ghost Protocol
Adventure|Animation|Family|Fantasy,tt1446192,Rise of the Guardians
Comedy|Crime,tt0369441,Fun with Dick and Jane
Action|Drama|History|War,tt0325710,The Last Samurai
Action|Adventure|Drama,tt1528100,Exodus: Gods and Kings
Action|Adventure|Sci-Fi,tt0796366,Star Trek
Action|Adventure|Fantasy|Romance,tt0145487,Spider-Man
Action|Adventure|Animation|Comedy|Family|Fantasy,tt1646971,How to Train Your Dragon 2
Action|Adventure|Fantasy,tt2404233,Gods of Egypt
Action|Adventure|Sci-Fi|Thriller,tt0382992,Stealth
Action|Drama|Mystery|Sci-Fi,tt0409459,Watchmen
Action|Crime|Thriller,tt0122151,Lethal Weapon 4
Action|Sci-Fi,tt0286716,Hulk
Action|Adventure|Sci-Fi|Thriller,tt1583421,G.I. Joe: Retaliation
Action|Adventure|Comedy|Thriller,tt0318649,Sahara
Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,tt0173840,Final Fantasy: The Spirits Within
Action|Adventure|Sci-Fi,tt0458339,Captain America: The First Avenger
Action|Adventure|Thriller,tt0143145,The World Is Not Enough
Action|Adventure|Drama|History|War,tt0311113,Master and Commander: The Far Side of the World
Adventure|Drama|Fantasy|Romance,tt1673434,The Twilight Saga: Breaking Dawn - Part 2
Animation|Comedy|Family|Musical,tt1402488,Happy Feet 2
Action|Adventure|Sci-Fi,tt0800080,The Incredible Hulk
Action|Crime|Drama|Mystery|Thriller,tt0086759,Miami Vice
Adventure|Family|Fantasy,tt3691740,The BFG
Adventure|Drama|Thriller|Western,tt1663202,The Revenant
Adventure|Animation|Comedy|Family|Sport,tt1860353,Turbo
Adventure|Animation|Comedy|Family|Western,tt1192628,Rango
Adventure|Animation|Comedy|Family,tt1911658,Penguins of Madagascar
Action|Mystery|Thriller,tt0440963,The Bourne Ultimatum
Action|Adventure|Animation|Comedy|Family,tt0441773,Kung Fu Panda
Action|Adventure|Comedy|Sci-Fi,tt0478970,Ant-Man
Adventure|Sci-Fi|Thriller,tt1951264,The Hunger Games: Catching Fire
Adventure|Drama|Fantasy|Romance,tt1673434,The Twilight Saga: Breaking Dawn - Part 2
Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,tt2224026,Home
Adventure|Sci-Fi|Thriller,tt0407304,War of the Worlds
Action|Comedy|Crime|Thriller,tt0172156,Bad Boys II
Action|Adventure|Animation|Comedy|Family|Fantasy,tt0448694,Puss in Boots
Action|Crime|Mystery|Thriller,tt0944835,Salt
Action|Adventure|Drama,tt1959490,Noah
Action|Adventure|Family|Mystery,tt0983193,The Adventures of Tintin
Adventure|Family|Fantasy|Mystery,tt0304141,Harry Potter and the Prisoner of Azkaban
Adventure|Drama|Romance|War,tt0455824,Australia
Action|Adventure|Sci-Fi,tt1815862,After Earth
Adventure|Animation|Family|Thriller,tt0130623,Dinosaur
Adventure|Comedy|Family|Fantasy,tt2692250,Night at the Museum: Secret of the Tomb
Action|Animation|Comedy|Family|Sci-Fi,tt1001526,Megamind
Adventure|Family|Fantasy,tt0241527,Harry Potter and the Sorcerer's Stone
Action|Comedy|Fantasy,tt0790736,R.I.P.D.
Action|Adventure|Drama|Horror|Sci-Fi,tt4262980,Godzilla Resurgence
Action|Adventure|Fantasy,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl
Adventure|Sci-Fi|Thriller,tt1951265,The Hunger Games: Mockingjay - Part 1
Mystery|Thriller,tt0382625,The Da Vinci Code
Adventure|Animation|Comedy|Family|Musical,tt2357291,Rio 2
Action|Adventure|Fantasy|Sci-Fi|Thriller,tt0290334,X-Men 2
Action|Crime|Thriller,tt1596343,Fast Five
Action|Adventure|Crime|Mystery|Thriller,tt1515091,Sherlock Holmes: A Game of Shadows
Action|Adventure|Fantasy,tt0800320,Clash of the Titans
Action|Sci-Fi,tt0100802,Total Recall
Action|Adventure|History,tt0120657,The 13th Warrior
Action|Adventure|Thriller,tt1194173,The Bourne Legacy
Action,tt0118688,Batman & Robin
Comedy|Family|Fantasy,tt0170016,How the Grinch Stole Christmas
Action|Adventure|Sci-Fi|Thriller,tt0319262,The Day After Tomorrow
Action|Adventure|Thriller,tt0120755,Mission: Impossible II
Action|Adventure|Drama|Thriller,tt0177971,The Perfect Storm
Action|Adventure|Sci-Fi|Thriller,tt0486576,Fantastic 4: Rise of the Silver Surfer
Adventure|Drama|Fantasy,tt0454876,Life of Pi
Action|Fantasy|Thriller,tt0259324,Ghost Rider
Action|Thriller,tt4196776,Jason Bourne
Action|Adventure|Comedy|Crime,tt0305357,Charlie's Angels: Full Throttle
Adventure|Mystery|Sci-Fi,tt1446714,Prometheus
Adventure|Animation|Comedy|Family|Fantasy,tt0243585,Stuart Little 2
Action|Drama|Sci-Fi|Thriller,tt1535108,Elysium
Action|Adventure|Sci-Fi|Thriller,tt0296572,The Chronicles of Riddick
